GeneID,Length,I6_1,I6_2,I6_3,Con_1,Con_2,Con_3,logFC,Pvalue,FDR,Gene_name,NR_ID,NR_annotation,GO_ID,GO_term,KO_ID,KO_gene,KO_Hyperlink,KEGG_Pathway,Pathway_ID,KOG_ID,KOG_annotation,Swiss-Prot_ID,Swiss-Prot_annotation
NOVA1,2643,1.56,1.01,0.64,0.66,0.67,0.56,1.032497252,0.007741779,0.007741779,NOVA1,XP_009247274.1;XP_027983369.1;XP_006890026.1;XP_007472601.1;XP_027983368.1;NP_001353321.1;XP_007472602.1;NP_002506.2;NP_006480.2,RNA-binding protein Nova-1 isoform X2 [Pongo abelii];RNA-binding protein Nova-1 isoform X2 [Eptesicus fuscus];PREDICTED: RNA-binding protein Nova-1-like isoform X3 [Elephantulus edwardii];PREDICTED: RNA-binding protein Nova-1 isoform X2 [Monodelphis domestica];RNA-binding protein Nova-1 isoform X1 [Eptesicus fuscus];RNA-binding protein Nova-1 isoform 6 [Homo sapiens];PREDICTED: RNA-binding protein Nova-1 isoform X4 [Monodelphis domestica];RNA-binding protein Nova-1 isoform 1 [Homo sapiens];RNA-binding protein Nova-1 isoform 2 [Homo sapiens],GO:0005654;GO:0045202;GO:0043231;GO:0005730;GO:0005737;GO:0000381;GO:0010468;GO:0003730;GO:0006396;GO:0007268;GO:0003729;GO:0007626;GO:0008380;GO:0003723;GO:0000398;GO:0051252;GO:0120163;GO:0005634,"nucleoplasm;synapse;intracellular membrane-bounded organelle;nucleolus;cytoplasm;regulation of alternative mRNA splicing, via spliceosome;regulation of gene expression;mRNA 3'-UTR binding;RNA processing;chemical synaptic transmission;mRNA binding;locomotory behavior;RNA splicing;RNA binding;mRNA splicing, via spliceosome;regulation of RNA metabolic process;negative regulation of cold-induced thermogenesis;nucleus",K14944,NOVA,http://www.genome.jp/dbget-bin/www_bget?ko:K14944,-,-,KOG2191,RNA-binding protein NOVA1/PASILLA and related KH domain proteins,sp|P51513|NOVA1_HUMAN;sp|Q2PFW9|NOVA1_MACFA,RNA-binding protein Nova-1 OS=Homo sapiens OX=9606 GN=NOVA1 PE=1 SV=2;RNA-binding protein Nova-1 OS=Macaca fascicularis OX=9541 GN=NOVA1 PE=2 SV=1
CHRDL2,1720,0.14,0.28,0.17,0.05,0.04,0,2.919228079,0.04830275,0.04830275,CHRDL2,NP_001291346.1;NP_001265402.1;NP_001291320.1;NP_001291319.1;NP_056239.3;NP_001291344.1,chordin-like protein 2 isoform 7 [Homo sapiens];chordin-like protein 2 isoform 2 precursor [Homo sapiens];chordin-like protein 2 isoform 4 [Homo sapiens];chordin-like protein 2 isoform 3 [Homo sapiens];chordin-like protein 2 isoform 1 precursor [Homo sapiens];chordin-like protein 2 isoform 5 [Homo sapiens],GO:0005615;GO:0030154;GO:0005737;GO:0001503;GO:0051216,extracellular space;cell differentiation;cytoplasm;ossification;cartilage development,K17280,CHRDL2,http://www.genome.jp/dbget-bin/www_bget?ko:K17280,-,-,-,-,sp|Q6WN34|CRDL2_HUMAN,Chordin-like protein 2 OS=Homo sapiens OX=9606 GN=CHRDL2 PE=1 SV=1
ICAM1,2967,9.06,8.69,7.46,2.87,2.72,2.52,1.702085978,4.11E-27,4.11E-27,ICAM1,NP_000192.2,intercellular adhesion molecule 1 precursor [Homo sapiens],GO:0031669;GO:0090557;GO:0004888;GO:0045907;GO:0070374;GO:0071347;GO:0009986;GO:0002457;GO:0001975;GO:1902042;GO:0072683;GO:0038023;GO:0045121;GO:0034698;GO:0002693;GO:0007159;GO:1904646;GO:0033627;GO:0062023;GO:0043547;GO:0005615;GO:0071222;GO:0001618;GO:0051926;GO:0010477;GO:1990830;GO:0071312;GO:1900027;GO:0005887;GO:0030838;GO:0007569;GO:2000352;GO:0071354;GO:0051092;GO:0005178;GO:0042493;GO:0071346;GO:0001772;GO:0001541;GO:0016021;GO:1904996;GO:0010212;GO:0002291;GO:0009897;GO:0007155;GO:0022614;GO:0043200;GO:0045471;GO:0097368;GO:0050731;GO:0070062;GO:0071333;GO:0071356;GO:0061028;GO:0008360;GO:0032868;GO:0070234;GO:0071549;GO:0046688;GO:0002438;GO:0007605;GO:0044406;GO:0071456;GO:0098609;GO:0045429;GO:0046813,cellular response to nutrient levels;establishment of endothelial intestinal barrier;transmembrane signaling receptor activity;positive regulation of vasoconstriction;positive regulation of ERK1 and ERK2 cascade;cellular response to interleukin-1;cell surface;T cell antigen processing and presentation;response to amphetamine;negative regulation of extrinsic apoptotic signaling pathway via death domain receptors;T cell extravasation;signaling receptor activity;membrane raft;response to gonadotropin;positive regulation of cellular extravasation;leukocyte cell-cell adhesion;cellular response to amyloid-beta;cell adhesion mediated by integrin;collagen-containing extracellular matrix;positive regulation of GTPase activity;extracellular space;cellular response to lipopolysaccharide;virus receptor activity;negative regulation of calcium ion transport;response to sulfur dioxide;cellular response to leukemia inhibitory factor;cellular response to alkaloid;regulation of ruffle assembly;integral component of plasma membrane;positive regulation of actin filament polymerization;cell aging;negative regulation of endothelial cell apoptotic process;cellular response to interleukin-6;positive regulation of NF-kappaB transcription factor activity;integrin binding;response to xenobiotic stimulus;cellular response to interferon-gamma;immunological synapse;ovarian follicle development;integral component of membrane;positive regulation of leukocyte adhesion to vascular endothelial cell;response to ionizing radiation;T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell;external side of plasma membrane;cell adhesion;membrane to membrane docking;response to amino acid;response to ethanol;establishment of Sertoli cell barrier;positive regulation of peptidyl-tyrosine phosphorylation;extracellular exosome;cellular response to glucose stimulus;cellular response to tumor necrosis factor;establishment of endothelial barrier;regulation of cell shape;response to insulin;positive regulation of T cell apoptotic process;cellular response to dexamethasone stimulus;response to copper ion;acute inflammatory response to antigenic stimulus;sensory perception of sound;adhesion of symbiont to host;cellular response to hypoxia;cell-cell adhesion;positive regulation of nitric oxide biosynthetic process;receptor-mediated virion attachment to host cell,K06490,"ICAM1,CD54",http://www.genome.jp/dbget-bin/www_bget?ko:K06490,NF-kappa B signaling pathway;TNF signaling pathway;Cell adhesion molecules;Fluid shear stress and atherosclerosis;Lipid and atherosclerosis;Viral myocarditis;AGE-RAGE signaling pathway in diabetic complications;Rheumatoid arthritis;Staphylococcus aureus infection;African trypanosomiasis;Malaria;Epstein-Barr virus infection;Human T-cell leukemia virus 1 infection;Influenza A;Kaposi sarcoma-associated herpesvirus infection;Leukocyte transendothelial migration;Natural killer cell mediated cytotoxicity,"ko04064,ko04668,ko04514,ko05418,ko05417,ko05416,ko04933,ko05323,ko05150,ko05143,ko05144,ko05169,ko05166,ko05164,ko05167,ko04670,ko04650",-,-,sp|P05362|ICAM1_HUMAN,Intercellular adhesion molecule 1 OS=Homo sapiens OX=9606 GN=ICAM1 PE=1 SV=2
CENPE,8174,1.63,1.47,1.7,3.85,3.18,3.06,-1.006365517,3.42E-12,3.42E-12,CENPE,XP_011529850.1;XP_011529847.1;NP_001273663.1;XP_011529848.1;XP_011529846.1;XP_011529849.1;XP_016863148.1;XP_011529851.1;NP_001804.2,centromere-associated protein E isoform X5 [Homo sapiens];centromere-associated protein E isoform X2 [Homo sapiens];centromere-associated protein E isoform 2 [Homo sapiens];centromere-associated protein E isoform X3 [Homo sapiens];centromere-associated protein E isoform X1 [Homo sapiens];centromere-associated protein E isoform X4 [Homo sapiens];centromere-associated protein E isoform X7 [Homo sapiens];centromere-associated protein E isoform X6 [Homo sapiens];centromere-associated protein E isoform 1 precursor [Homo sapiens],GO:0005828;GO:1990023;GO:0000776;GO:0051382;GO:0007018;GO:0015630;GO:0007079;GO:0051301;GO:0005654;GO:0051310;GO:0000779;GO:0008017;GO:0099607;GO:0007275;GO:0005524;GO:0007059;GO:0006890;GO:0051315;GO:0019886;GO:0000278;GO:0000777;GO:0008574;GO:0045860;GO:0007052;GO:0000775;GO:0099606;GO:0005694;GO:0043515;GO:0007080;GO:0016020;GO:0005874;GO:0030496;GO:0005634;GO:0051233;GO:0005829;GO:0003777;GO:0030071,"kinetochore microtubule;mitotic spindle midzone;kinetochore;kinetochore assembly;microtubule-based movement;microtubule cytoskeleton;mitotic chromosome movement towards spindle pole;cell division;nucleoplasm;metaphase plate congression;condensed chromosome, centromeric region;microtubule binding;lateral attachment of mitotic spindle microtubules to kinetochore;multicellular organism development;ATP binding;chromosome segregation;retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum;attachment of mitotic spindle microtubules to kinetochore;antigen processing and presentation of exogenous peptide antigen via MHC class II;mitotic cell cycle;kinetochore;plus-end-directed microtubule motor activity;positive regulation of protein kinase activity;mitotic spindle organization;chromosome, centromeric region;microtubule plus-end directed mitotic chromosome migration;chromosome;kinetochore binding;mitotic metaphase plate congression;membrane;microtubule;midbody;nucleus;spindle midzone;cytosol;microtubule motor activity;regulation of mitotic metaphase/anaphase transition",K11498,CENPE,http://www.genome.jp/dbget-bin/www_bget?ko:K11498,-,-,KOG0242,Kinesin-like protein,sp|Q02224|CENPE_HUMAN,Centromere-associated protein E OS=Homo sapiens OX=9606 GN=CENPE PE=1 SV=2
C1RL,3349,4.3,4.19,4.58,1.9,1.71,2.12,1.245851593,3.20E-11,3.20E-11,C1RL,NP_001284569.1;XP_028685057.1;AAH62428.1;NP_057630.2,"complement C1r subcomponent-like protein isoform 2 precursor [Homo sapiens];complement C1r subcomponent-like protein isoform X1 [Macaca mulatta];C1RL protein, partial [Homo sapiens];complement C1r subcomponent-like protein isoform 1 precursor [Homo sapiens]",GO:0004252;GO:0005615;GO:0006958;GO:0072562;GO:0031638;GO:0070062;GO:0045087,"serine-type endopeptidase activity;extracellular space;complement activation, classical pathway;blood microparticle;zymogen activation;extracellular exosome;innate immune response",K24791,C1RL,http://www.genome.jp/dbget-bin/www_bget?ko:K24791,-,-,-,-,sp|Q9NZP8|C1RL_HUMAN,Complement C1r subcomponent-like protein OS=Homo sapiens OX=9606 GN=C1RL PE=1 SV=2
SCN3A,8955,0.4,0.33,0.31,0.1,0.04,0.12,2.010575329,5.21E-05,5.21E-05,SCN3A,NP_008853.3;XP_016860151.1;XP_016860150.1;XP_024210471.1;XP_011509915.1;NP_001075146.1;NP_001075145.1;XP_016860155.1;EAX11331.1;XP_016860149.1,"sodium channel protein type 3 subunit alpha isoform 1 [Homo sapiens];sodium channel protein type 3 subunit alpha isoform X4 [Homo sapiens];sodium channel protein type 3 subunit alpha isoform X3 [Homo sapiens];sodium channel protein type 3 subunit alpha isoform X4 [Pan troglodytes];sodium channel protein type 3 subunit alpha isoform X5 [Homo sapiens];sodium channel protein type 3 subunit alpha isoform 3 [Homo sapiens];sodium channel protein type 3 subunit alpha isoform 2 [Homo sapiens];sodium channel protein type 3 subunit alpha isoform X8 [Homo sapiens];sodium channel, voltage-gated, type III, alpha, isoform CRA_a [Homo sapiens];sodium channel protein type 3 subunit alpha isoform X2 [Homo sapiens]",GO:0030424;GO:0019228;GO:0006814;GO:0005248;GO:0086010;GO:0035725;GO:0005737;GO:0005244;GO:0034765;GO:0001518,axon;neuronal action potential;sodium ion transport;voltage-gated sodium channel activity;membrane depolarization during action potential;sodium ion transmembrane transport;cytoplasm;voltage-gated ion channel activity;regulation of ion transmembrane transport;voltage-gated sodium channel complex,K04836,"SCN3A,NAV1.3",http://www.genome.jp/dbget-bin/www_bget?ko:K04836,Taste transduction,ko04742,-,-,sp|Q9NY46|SCN3A_HUMAN,Sodium channel protein type 3 subunit alpha OS=Homo sapiens OX=9606 GN=SCN3A PE=1 SV=2
GPRC5A,6566,11.47,11.42,11.24,4.78,6.13,5.51,1.123690099,3.85E-30,3.85E-30,GPRC5A,NP_003970.1;NP_003970.1,"retinoic acid-induced protein 3 [Homo sapiens] &gt;Q8NFJ5.2 RecName: Full=Retinoic acid-induced protein 3; AltName: Full=G-protein coupled receptor family C group 5 member A; AltName: Full=Phorbol ester induced gene 1; Short=PEIG-1; AltName: Full=Retinoic acid-induced gene 1 protein; Short=RAIG-1 [Homo sapiens] &gt;BAJ20950.1 G protein-coupled receptor, family C, group 5, member A, partial [synthetic construct] &gt;AAC98506.1 putative G protein-coupled receptor [Homo sapiens] &gt;AAH03665.1 G protein-coupled receptor, family C, group 5, member A [Homo sapiens] &gt;EAW96289.1 G protein-coupled receptor, family C, group 5, member A [Homo sapiens] &gt;KAI2564527.1 G protein-coupled receptor class C group 5 member A [Homo sapiens];retinoic acid-induced protein 3 [Homo sapiens]",GO:0030295;GO:0045296;GO:0030659;GO:0007165;GO:0016021;GO:0005887;GO:0031982;GO:0005886;GO:0070062;GO:0007175;GO:0004930;GO:0043231;GO:0005730;GO:0043235,protein kinase activator activity;cadherin binding;cytoplasmic vesicle membrane;signal transduction;integral component of membrane;integral component of plasma membrane;vesicle;plasma membrane;extracellular exosome;negative regulation of epidermal growth factor-activated receptor activity;G protein-coupled receptor activity;intracellular membrane-bounded organelle;nucleolus;receptor complex,K08468,GPRC5A,http://www.genome.jp/dbget-bin/www_bget?ko:K08468,-,-,-,-,sp|Q8NFJ5|RAI3_HUMAN,Retinoic acid-induced protein 3 OS=Homo sapiens OX=9606 GN=GPRC5A PE=1 SV=2
RELN,10849,8.26,7.92,8.02,3.3,3.83,3.31,1.322443191,1.14E-58,1.14E-58,RELN,NP_774959.1;NP_774959.1;NP_005036.2,"reelin isoform b precursor [Homo sapiens] &gt;AAI72269.1 Reelin, partial [synthetic construct] &gt;EAL24411.1 reelin [Homo sapiens] &gt;KAI4015220.1 reelin [Homo sapiens];reelin isoform b precursor [Homo sapiens];reelin isoform a precursor [Homo sapiens]",GO:0031012;GO:0061098;GO:0060291;GO:0046872;GO:0070325;GO:0032008;GO:0005615;GO:0014068;GO:0016787;GO:0048265;GO:0008306;GO:0021517;GO:0010001;GO:0021511;GO:0061003;GO:0007626;GO:2000463;GO:0008236;GO:1900273;GO:0016358;GO:0045860;GO:0043005;GO:0021766;GO:0032793;GO:0070326;GO:0051968;GO:0007420;GO:0021819;GO:0030425;GO:0007155;GO:0005576;GO:2000310;GO:0097114;GO:0038026;GO:0097120;GO:0097119;GO:0000904;GO:0050731;GO:0090129;GO:0007616;GO:0005886;GO:0007411;GO:2000969;GO:0051057;GO:0050795;GO:0097477;GO:1902078;GO:0001764;GO:0050804;GO:0007417;GO:0005737;GO:0018108;GO:0021800;GO:0010976,"extracellular matrix;positive regulation of protein tyrosine kinase activity;long-term synaptic potentiation;metal ion binding;lipoprotein particle receptor binding;positive regulation of TOR signaling;extracellular space;positive regulation of phosphatidylinositol 3-kinase signaling;hydrolase activity;response to pain;associative learning;ventral spinal cord development;glial cell differentiation;spinal cord patterning;positive regulation of dendritic spine morphogenesis;locomotory behavior;positive regulation of excitatory postsynaptic potential;serine-type peptidase activity;positive regulation of long-term synaptic potentiation;dendrite development;positive regulation of protein kinase activity;neuron projection;hippocampus development;positive regulation of CREB transcription factor activity;very-low-density lipoprotein particle receptor binding;positive regulation of synaptic transmission, glutamatergic;brain development;layer formation in cerebral cortex;dendrite;cell adhesion;extracellular region;regulation of NMDA receptor activity;NMDA glutamate receptor clustering;reelin-mediated signaling pathway;receptor localization to synapse;postsynaptic density protein 95 clustering;cell morphogenesis involved in differentiation;positive regulation of peptidyl-tyrosine phosphorylation;positive regulation of synapse maturation;long-term memory;plasma membrane;axon guidance;positive regulation of AMPA receptor activity;positive regulation of small GTPase mediated signal transduction;regulation of behavior;lateral motor column neuron migration;positive regulation of lateral motor column neuron migration;neuron migration;modulation of chemical synaptic transmission;central nervous system development;cytoplasm;peptidyl-tyrosine phosphorylation;cerebral cortex tangential migration;positive regulation of neuron projection development",K06249,RELN,http://www.genome.jp/dbget-bin/www_bget?ko:K06249,Focal adhesion;PI3K-Akt signaling pathway;ECM-receptor interaction;Human papillomavirus infection;Spinocerebellar ataxia,"ko04510,ko04151,ko04512,ko05165,ko05017",-,-,sp|P78509|RELN_HUMAN,Reelin OS=Homo sapiens OX=9606 GN=RELN PE=1 SV=3
CARMIL2,4330,0.21,0.12,0.21,0.65,0.72,0.51,-1.761821294,0.000149882,0.000149882,CARMIL2,BAD26751.1,"RGD, leucine-rich repeat, tropomodulin and proline-rich containing protein, partial [Homo sapiens]",GO:0061339;GO:0030011;GO:0005886;GO:0001726;GO:0044319;GO:0044354;GO:0030027;GO:0005737;GO:0044877;GO:0090091;GO:0010592;GO:1900029;GO:0030335;GO:0051639;GO:0045111;GO:1902745;GO:0007163;GO:0031234;GO:0005543;GO:0031252;GO:2000813;GO:0016020;GO:0015629,"establishment or maintenance of monopolar cell polarity;maintenance of cell polarity;plasma membrane;ruffle;wound healing, spreading of cells;macropinosome;lamellipodium;cytoplasm;protein-containing complex binding;positive regulation of extracellular matrix disassembly;positive regulation of lamellipodium assembly;positive regulation of ruffle assembly;positive regulation of cell migration;actin filament network formation;intermediate filament cytoskeleton;positive regulation of lamellipodium organization;establishment or maintenance of cell polarity;extrinsic component of cytoplasmic side of plasma membrane;phospholipid binding;cell leading edge;negative regulation of barbed-end actin filament capping;membrane;actin cytoskeleton",K20493,"LRRC16,CARMIL",http://www.genome.jp/dbget-bin/www_bget?ko:K20493,-,-,-,-,sp|Q6F5E8|CARL2_HUMAN,"Capping protein, Arp2/3 and myosin-I linker protein 2 OS=Homo sapiens OX=9606 GN=CARMIL2 PE=1 SV=2"
DENND2D,3182,0.59,0.56,0.81,0.35,0.12,0.23,1.364844404,0.017446831,0.017446831,DENND2D,XP_006710984.2;XP_016857878.1;NP_001258762.1;EAW56474.1;XP_006710985.1;NP_079177.2,"DENN domain-containing protein 2D isoform X1 [Homo sapiens];DENN domain-containing protein 2D isoform X5 [Homo sapiens];DENN domain-containing protein 2D isoform b [Homo sapiens];DENN/MADD domain containing 2D, isoform CRA_b [Homo sapiens];DENN domain-containing protein 2D isoform X3 [Homo sapiens];DENN domain-containing protein 2D isoform a [Homo sapiens]",GO:0005654;GO:0005085;GO:0005829,nucleoplasm;guanyl-nucleotide exchange factor activity;cytosol,K20161,DENND2,http://www.genome.jp/dbget-bin/www_bget?ko:K20161,-,-,-,-,sp|Q9H6A0|DEN2D_HUMAN,DENN domain-containing protein 2D OS=Homo sapiens OX=9606 GN=DENND2D PE=1 SV=2
GTSE1-DT,1518,0.79,0.32,0.04,0.03,0.07,0.04,3.072556616,0.022750921,0.022750921,GTSE1-DT,-,-,-,-,-,-,-,-,-,-,-,-,-
PLAAT4,758,4.65,2.12,3.54,0.36,0.46,0.92,2.645736428,6.83E-05,6.83E-05,PLAAT4,NP_004576.2,phospholipase A and acyltransferase 4 [Homo sapiens],GO:0004623;GO:0016021;GO:0008970;GO:0102568;GO:0016020;GO:0016042;GO:0052740;GO:0016410;GO:0052739;GO:0005829;GO:0102567;GO:0005737;GO:0070292;GO:0150074;GO:0036152;GO:0008285;GO:0045618;GO:0006644,phospholipase A2 activity;integral component of membrane;phospholipase A1 activity;phospholipase A2 activity;membrane;lipid catabolic process;1-acyl-2-lysophosphatidylserine acylhydrolase activity;N-acyltransferase activity;phosphatidylserine 1-acylhydrolase activity;cytosol;phospholipase A2 activity;cytoplasm;N-acylphosphatidylethanolamine metabolic process;positive regulation of protein-glutamine gamma-glutamyltransferase activity;phosphatidylethanolamine acyl-chain remodeling;negative regulation of cell population proliferation;positive regulation of keratinocyte differentiation;phospholipid metabolic process,K23266,RARRES3,http://www.genome.jp/dbget-bin/www_bget?ko:K23266,-,-,-,-,sp|Q9UL19|PLAT4_HUMAN,Phospholipase A and acyltransferase 4 OS=Homo sapiens OX=9606 GN=PLAAT4 PE=1 SV=1
MME,5411,1.25,0.8,1.18,2.25,2.38,2.3,-1.054771287,2.95E-07,2.95E-07,MME,NP_001341573.1;NP_000893.2,neprilysin isoform b [Homo sapiens];neprilysin isoform a [Homo sapiens],GO:0004222;GO:0005737;GO:1901612;GO:0007611;GO:0045202;GO:0090399;GO:0016485;GO:0046449;GO:0043025;GO:0008270;GO:0006518;GO:0008238;GO:0030324;GO:0001786;GO:0001822;GO:0061837;GO:0005886;GO:0050435;GO:0070062;GO:0005769;GO:0071345;GO:0050769;GO:0030425;GO:0008237;GO:0070012;GO:0016021;GO:0071492;GO:1900273;GO:0004175;GO:0030424;GO:0030667;GO:0002003;GO:0001890;GO:0005887;GO:0150094;GO:0008021;GO:0043312;GO:0097242;GO:0042803;GO:0007568;GO:0042277;GO:0098793;GO:0005802;GO:0019233;GO:0006508;GO:0005925;GO:0071493;GO:0005903;GO:0045121;GO:0031410;GO:0044306;GO:0009986;GO:0046872,metalloendopeptidase activity;cytoplasm;cardiolipin binding;learning or memory;synapse;replicative senescence;protein processing;creatinine metabolic process;neuronal cell body;zinc ion binding;peptide metabolic process;exopeptidase activity;lung development;phosphatidylserine binding;kidney development;neuropeptide processing;plasma membrane;amyloid-beta metabolic process;extracellular exosome;early endosome;cellular response to cytokine stimulus;positive regulation of neurogenesis;dendrite;metallopeptidase activity;oligopeptidase activity;integral component of membrane;cellular response to UV-A;positive regulation of long-term synaptic potentiation;endopeptidase activity;axon;secretory granule membrane;angiotensin maturation;placenta development;integral component of plasma membrane;amyloid-beta clearance by cellular catabolic process;synaptic vesicle;neutrophil degranulation;amyloid-beta clearance;protein homodimerization activity;aging;peptide binding;presynapse;trans-Golgi network;sensory perception of pain;proteolysis;focal adhesion;cellular response to UV-B;brush border;membrane raft;cytoplasmic vesicle;neuron projection terminus;cell surface;metal ion binding,K01389,"MME,CD10",http://www.genome.jp/dbget-bin/www_bget?ko:K01389,Alzheimer disease;Protein digestion and absorption;Renin-angiotensin system;Hematopoietic cell lineage,"ko05010,ko04974,ko04614,ko04640",KOG3624,M13 family peptidase,sp|P08473|NEP_HUMAN,Neprilysin OS=Homo sapiens OX=9606 GN=MME PE=1 SV=2
ALS2CL,4777,1.67,2.3,2.11,0.9,1.19,1.13,1.006078087,7.89E-06,7.89E-06,ALS2CL,NP_001177636.1;EAW64775.1;NP_001177636.1,"ALS2 C-terminal-like protein isoform 1 [Homo sapiens] &gt;NP_667340.2 ALS2 C-terminal-like protein isoform 1 [Homo sapiens] &gt;Q60I27.1 RecName: Full=ALS2 C-terminal-like protein [Homo sapiens] &gt;AAI56526.1 ALS2 C-terminal like, partial [synthetic construct] &gt;AAI72558.1 ALS2 C-terminal like [synthetic construct] &gt;EAW64777.1 ALS2 C-terminal like, isoform CRA_c [Homo sapiens] &gt;EAW64778.1 ALS2 C-terminal like, isoform CRA_c [Homo sapiens] &gt;BAD51817.1 ALS2 C-terminal like [Homo sapiens];ALS2 C-terminal like, isoform CRA_a [Homo sapiens];ALS2 C-terminal-like protein isoform 1 [Homo sapiens]",GO:0005096;GO:0007032;GO:0042802;GO:0005829;GO:0043547,GTPase activator activity;endosome organization;identical protein binding;cytosol;positive regulation of GTPase activity,-,-,-,-,-,-,-,sp|Q60I27|AL2CL_HUMAN,ALS2 C-terminal-like protein OS=Homo sapiens OX=9606 GN=ALS2CL PE=1 SV=1
ZNF547,2754,0.18,0.16,0.18,0.6,0.35,0.46,-1.359259659,0.032306675,0.032306675,ZNF547,XP_025224267.1,zinc finger protein 547 [Theropithecus gelada],GO:0000981;GO:0000978;GO:0006357;GO:0046872;GO:0005634;GO:0006355,"DNA-binding transcription factor activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding;regulation of transcription by RNA polymerase II;metal ion binding;nucleus;regulation of transcription, DNA-templated",K09228,KRAB,http://www.genome.jp/dbget-bin/www_bget?ko:K09228,Herpes simplex virus 1 infection,ko05168,-,-,sp|Q8IVP9|ZN547_HUMAN,Zinc finger protein 547 OS=Homo sapiens OX=9606 GN=ZNF547 PE=1 SV=2
TMEM119,2675,13.9,14.73,14.23,4.99,5.32,6.22,1.435662028,4.99E-30,4.99E-30,TMEM119,XP_011826664.1;NP_859075.2;NP_859075.2,PREDICTED: transmembrane protein 119 [Mandrillus leucophaeus];transmembrane protein 119 precursor [Homo sapiens] &gt;XP_011536573.1 transmembrane protein 119 isoform X1 [Homo sapiens] &gt;Q4V9L6.1 RecName: Full=Transmembrane protein 119; AltName: Full=Osteoblast induction factor; Short=OBIF; Flags: Precursor [Homo sapiens] &gt;AAH96825.1 Transmembrane protein 119 [Homo sapiens] &gt;EAW97823.1 transmembrane protein 119 [Homo sapiens] &gt;KAI4068048.1 transmembrane protein 119 [Homo sapiens];transmembrane protein 119 precursor [Homo sapiens],GO:0010832;GO:0016021;GO:0007283;GO:0005789;GO:0045779;GO:0033690;GO:0001649;GO:0048515;GO:0001958;GO:0001934;GO:1903012;GO:0010628;GO:0045669;GO:0030501;GO:0005783;GO:0005886;GO:0031214,negative regulation of myotube differentiation;integral component of membrane;spermatogenesis;endoplasmic reticulum membrane;negative regulation of bone resorption;positive regulation of osteoblast proliferation;osteoblast differentiation;spermatid differentiation;endochondral ossification;positive regulation of protein phosphorylation;positive regulation of bone development;positive regulation of gene expression;positive regulation of osteoblast differentiation;positive regulation of bone mineralization;endoplasmic reticulum;plasma membrane;biomineral tissue development,-,-,-,-,-,-,-,sp|Q4V9L6|TM119_HUMAN,Transmembrane protein 119 OS=Homo sapiens OX=9606 GN=TMEM119 PE=1 SV=1
LINC01915,2321,0.26,0.2,0.18,0,0.04,0,3.951460878,0.009220309,0.009220309,LINC01915,-,-,-,-,-,-,-,-,-,-,-,-,-
PLXNC1,7300,0.32,0.2,0.36,0.05,0.07,0.03,2.456304061,0.000155286,0.000155286,PLXNC1,XP_011536033.1;XP_011536032.1;XP_006719249.1;NP_005752.1;BAG58219.1,plexin-C1 isoform X5 [Homo sapiens];plexin-C1 isoform X3 [Homo sapiens];plexin-C1 isoform X1 [Homo sapiens];plexin-C1 precursor [Homo sapiens];unnamed protein product [Homo sapiens],GO:0008360;GO:0017154;GO:0005886;GO:0030334;GO:0050772;GO:0007155;GO:0043087;GO:0007162;GO:0016021;GO:0005887;GO:0016020;GO:0002116;GO:1902287;GO:0005102,regulation of cell shape;semaphorin receptor activity;plasma membrane;regulation of cell migration;positive regulation of axonogenesis;cell adhesion;regulation of GTPase activity;negative regulation of cell adhesion;integral component of membrane;integral component of plasma membrane;membrane;semaphorin receptor complex;semaphorin-plexin signaling pathway involved in axon guidance;signaling receptor binding,K06572,"PLXNC,CD232",http://www.genome.jp/dbget-bin/www_bget?ko:K06572,Axon guidance,ko04360,KOG3610,Plexins (functional semaphorin receptors),sp|O60486|PLXC1_HUMAN,Plexin-C1 OS=Homo sapiens OX=9606 GN=PLXNC1 PE=1 SV=1
SKA1,2868,2.23,2.48,2.89,7.56,4.65,4.93,-1.10592989,5.91E-07,5.91E-07,SKA1,NP_001034624.1,spindle and kinetochore-associated protein 1 [Homo sapiens],GO:0000278;GO:0000940;GO:0031110;GO:0008017;GO:0005876;GO:0007059;GO:0072686;GO:0015630;GO:0051301,mitotic cell cycle;outer kinetochore;regulation of microtubule polymerization or depolymerization;microtubule binding;spindle microtubule;chromosome segregation;mitotic spindle;microtubule cytoskeleton;cell division,-,-,-,-,-,-,-,sp|Q96BD8|SKA1_HUMAN,Spindle and kinetochore-associated protein 1 OS=Homo sapiens OX=9606 GN=SKA1 PE=1 SV=1
